Memory(MB),SCM,SCU,Ada CM,IACM
40,0.086197,0.009996,0.228683,0.342366
45,0.057006,0.005608,0.178943,0.279890
50,0.039277,0.003659,0.146077,0.232848
55,0.027873,0.002537,0.121603,0.186370
60,0.019814,0.001653,0.103685,0.160808
65,0.015112,0.001087,0.088241,0.140057
70,0.011504,0.000776,0.073838,0.125028
75,0.008914,0.000469,0.069244,0.114408
80,0.006711,0.000446,0.057662,0.094899
