Memory(MB),SBF,PBF,IABF
8,0.020619,0.617325,0.101922
12,0.004938,0.337058,0.050827
16,0.001676,0.213782,0.030231
20,0.000679,0.146725,0.020124
24,0.000369,0.105044,0.014238
28,0.000180,0.080508,0.010462
32,0.000117,0.063868,0.008338
