Memory(MB),SCM,SCU,Ada CM,IACM
160,0.080177,0.016464,0.165401,0.280048
170,0.064920,0.013164,0.146901,0.252666
180,0.052996,0.010637,0.131718,0.228257
190,0.044320,0.008452,0.120228,0.206975
200,0.037204,0.006991,0.107332,0.189094
210,0.030990,0.005725,0.098033,0.173362
220,0.026304,0.004886,0.090302,0.158698
230,0.022369,0.004105,0.081520,0.146505
240,0.019330,0.003421,0.076945,0.136514
