window id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,
sbf,0.008114,0.008121,0.008209,0.008254,0.008223,0.008048,0.008266,0.008196,0.008130,0.008072,0.008054,0.008311,0.008223,0.008083,0.008028,0.008193,0.004632,0.004691,0.004475,0.004723,0.004646,0.004816,0.004667,0.004724,0.001982,0.001993,0.001997,0.001911,0.000427,0.000409,0.000169,0.000061
pbf,0.022005,0.027206,0.023674,0.024086,0.028507,0.025409,0.027891,0.026207,0.033770,0.045104,0.039452,0.040740,0.037240,0.032057,0.031134,0.039373,0.032432,0.029452,0.030295,0.028941,0.043602,0.036994,0.032964,0.061273,0.037763,0.042569,0.040269,0.048728,0.032297,0.028421,0.034133,0.030697
iabf,0.243073,0.057551,0.073004,0.071258,0.068486,0.082249,0.080433,0.090187,0.146042,0.081572,0.128492,0.119787,0.091397,0.120688,0.120259,0.075125,0.085418,0.030670,0.024054,0.025869,0.030516,0.043098,0.085159,0.024575,0.062730,0.014710,0.016651,0.011158,0.005014,0.001749,0.002185,0.000645
